Student ID,Test1,Homeworks,Quizzes,Term Paper,Presentation,Fianl-Exam
,Max:50,Max:400,Max:140,,,Max:100
,,,,,,
S1,41,244,136,76,50,90
S2,50,400,140,98,50,100
S3,43,327,88,88,50,79
S4,43,336,123,18,50,35
S5,41,232,100,44,50,79
S6,46,400,135,50,50,46
S7,47,310,125,100,50,87
S8,41,400,102,22,50,51
S9,42,128,84,49,40,62
S10,50,384,134,66,50,75
S11,42,200,100,88,50,65
S12,40,146,138,94,50,99
S13,50,396,130,61,50,46
S14,42,356,126,100,50,100
S15,40,295,131,25,50,44
S16,44,233,118,29,50,52
S17,32,321,122,71,50,82
S18,50,400,132,90,50,100
S19,45,280,132,69,50,37
S20,46,198,129,100,50,69
S21,41,300,111,74,50,62
S22,31,212,100,80,50,55
S23,27,195,78,62,40,86
S24,42,292,82,24,50,50
S25,49,275,84,100,50,84
S26,50,374,121,78,50,94
S27,49,278,140,82,50,86
S28,45,392,130,100,50,77
S29,32,218,74,70,40,29
S30,31,222,100,72,40,24
